,case,date,day_of_week,time,premise_category,less_lethal_force_used_by_apd_prior_to_shooting,subject_weapon,number_of_officer_shooters,call_type_categories,officers_present_when_shots_fired,hits,location_1
4,"13-5021565
13-1370254",2013-05-17,Fri,3:27 AM,Yard/Courtyard,No,gun,1,shots fired,3,0.0,"{'latitude': '30.321071', 'longitude': '-97.687437', 'human_address': '{""address"": ""6855 E US 290 Hwy SVRD EB"", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,"13-5009062
13-0600435",2013-03-01,Fri,7:32 AM,Residence,No,gun,1,shots fired,1,2.0,"{'latitude': '30.384132', 'longitude': '-97.708018', 'human_address': '{""address"": ""10617 Lanshire Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
6,"13-5017606
13-1131720",2013-04-23,Tue,8:40 PM,Yard/Courtyard,No,rifle,4,suicidal subject,4,7.0,"{'latitude': '30.234584', 'longitude': '-97.691949', 'human_address': '{""address"": ""706 Valdez St"", ""city"": """", ""state"": """", ""zip"": """"}'}"
7,"13-5039952
13-2430035",2013-08-31,Sat,12:13 AM,Parking Lot,No,vehicle,1,burglar alarm,1,5.0,"{'latitude': '30.382402', 'longitude': '-97.733069', 'human_address': '{""address"": ""9416 Neils Thompson Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
8,"13-5048070
13-5048073
13-2911294",2013-10-18,Fri,3:20 PM,Yard/Courtyard,No,rifle,3,shots fired,5,1.0,"{'latitude': '30.379773', 'longitude': '-97.704626', 'human_address': '{""address"": ""1609 Cripple Creek Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"14-5003813
14-0250881",2014-01-25,Sat,1:42 PM,Parking Lot,No,vehicle,1,other - flagged down by victim of an LTS,1,0.0,"{'latitude': '30.363177', 'longitude': '-97.696992', 'human_address': '{""address"": ""9400 N Lamar Blvd"", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,"14-3320160
14-5052475",2014-11-28,Fri,2:22 AM,Street,No,rifle,1,shots fired,10,1.0,"{'latitude': '48.192789', 'longitude': '-114.299949', 'human_address': '{""address"": ""715 E 8th St"", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,"14-5012166
14-0770816",2014-03-18,Tue,12:24 PM,Yard/Courtyard,No,air pistol (BB gun),1,domestic disturbance,1,2.0,"{'latitude': '30.316889', 'longitude': '-97.690853', 'human_address': '{""address"": ""6301 Berkman Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,14-2511591,2014-09-08,Mon,7:38 PM,Residence,No,gun,3,warrant,3,2.0,"{'latitude': '30.426237', 'longitude': '-97.673119', 'human_address': '{""address"": ""13712 Maye Pl"", ""city"": """", ""state"": """", ""zip"": """"}'}"
0,"15-0381788
15-5005471
15-5006662",2015-02-08,Sun,12:09 PM,Yard/Courtyard,No,rifle,1,shots fired,26,1.0,"{'latitude': '30.244609', 'longitude': '-97.888612', 'human_address': '{""address"": ""8206 Pax Dr"", ""city"": """", ""state"": """", ""zip"": """"}'}"
