Incident_Occurred_Date,Incident_Location,City,State,Incident_Type,Allegation,Incident_Disposition,Citizen_Race,Citizen_Gender,Officer_Race,Officer_Gender,FID,Incident_ID
2020-08-13 12:00:00,E Michigan Ave / S Cedar St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Exonerated,White,Male,White,Male,41,18286
2020-08-13 12:00:00,E Michigan Ave / S Cedar St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Sustained,White,Male,Hispanic,Male,42,18286
2020-08-11 12:00:00,N Pine St / W Saginaw St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,White,Male,43,18298
2020-08-11 12:00:00,N Pine St / W Saginaw St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,White,Male,44,18298
2020-08-09 12:00:00,Dakin St / Gray St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Hispanic,Female,Black,Female,45,18299
2020-09-13 12:00:00,Sandhurst Dr / Averill Dr,Lansing,MI, Citizen complaint,Use of Force,Informational Only,Black,Male,White,Male,46,18329
2020-09-12 12:00:00,S Martin Luther King Jr Blvd / Pierce Rd,Lansing,MI, Citizen complaint,Use of Force,Informational Only,Black,Female,White,Male,47,18332
2020-09-27 12:00:00,W Holmes Rd / S Martin Luther King Jr Blvd,Lansing,MI, Citizen complaint,Courtesy,Informational Only,White,Male,White,Female,48,18359
2020-09-20 12:00:00,Louisa St / Richwood St,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Not Sustained,Black,Male,Hispanic,Male,49,18366
2020-09-20 12:00:00,Louisa St / Richwood St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Not Sustained,Black,Male,Hispanic,Male,50,18366
2020-09-20 12:00:00,Louisa St / Richwood St,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Not Sustained,Black,Male,White,Male,51,18366
2020-09-20 12:00:00,Louisa St / Richwood St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Not Sustained,Black,Male,White,Male,52,18366
2020-10-24 12:00:00,S Genesee St / Carey St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,53,18412
2020-10-24 12:00:00,S Genesee St / Carey St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,54,18412
2020-11-04 12:00:00,Risdale Ave / Richmond St,Lansing,MI, Citizen complaint,Use of Force,Informational Only,Black,Female,White,Male,55,18423
2020-11-28 12:00:00,W Saginaw St / N Chestnut St,Lansing,MI, Citizen complaint,Courtesy,Exonerated,White,Male,Black,Female,56,18456
2020-11-26 12:00:00,Clear St / E Elm St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,57,18530
2020-12-28 12:00:00,W Saginaw St / N Chestnut St,Lansing,MI, Citizen complaint,Violation of Rules,Not Sustained,White,Male,White,Male,58,18535
2020-12-28 12:00:00,W Saginaw St / N Chestnut St,Lansing,MI, Citizen complaint,Violation of Rules,Not Sustained,White,Male,White,Male,59,18535
2020-12-13 12:00:00,New York Ave / Oak St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,66,18655
2020-12-13 12:00:00,New York Ave / Oak St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,67,18655
2020-12-13 12:00:00,New York Ave / Oak St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,68,18655
2020-11-14 12:00:00,Johnson Ave / E Oakland Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Female,White,Male,69,18658
2020-10-06 12:00:00,Jerome St / N Fairview Ave,Lansing,MI, Citizen complaint,Departmental Reports,Informational Only,White,Male,White,Male,107,18855
2020-11-28 12:00:00,New York Ave / Drury Ln ,Lansing,MI,Citizen complaint,Processing Property and Evidence ,Informational Only,White,Female,Asian ,Male,120,18883
2020-08-26 12:00:00,Wise Rd / W Miller Rd,Lansing,MI,Citizen complaint,Courtesy,Informational Only,Black,Male,White,Male,134,18930
2021-01-08 12:00:00,S Martin Luther King Jr Blvd / Mary Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Female,60,18537
2021-01-30 12:00:00,Clear St / E Hazel St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Female,Black,Male,61,18574
2021-01-30 12:00:00,Clear St / E Hazel St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Female,Black,Male,62,18574
2021-01-26 12:00:00,N Cedar St / E Saginaw St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,63,18587
2021-02-15 12:00:00,S Martin Luther King Jr Blvd / Kelsey Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Female,White,Male,64,18604
2021-02-28 12:00:00,W Cesar E Chavez Ave / N Walnut St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,65,18628
2021-03-24 12:00:00,E Potter Ave / Donald St,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Informational Only,Other,Male,Asian,Male,70,18665
2021-03-24 12:00:00,E Potter Ave / Donald St,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Informational Only,Other,Male,White,Male,71,18665
2021-03-24 12:00:00,E Potter Ave / Donald St,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Informational Only,Other,Male,White,Male,72,18665
2021-03-24 12:00:00,E Potter Ave / Donald St,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Informational Only,Other,Male,White,Male,73,18665
2021-03-29 12:00:00,E Saginaw St / Coolidge Rd,Lansing,MI, Citizen complaint,Courtesy,Informational Only,White,Male,White,Male,74,18675
2021-03-29 12:00:00,E Saginaw St / Coolidge Rd,Lansing,MI, Citizen complaint,Courtesy,Informational Only,White,Male,White,Male,75,18675
2021-03-31 12:00:00,S Cedar St / Denver Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,Unknown,Unknown,76,18678
2021-03-31 12:00:00,W Saginaw St / Canal Rd,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Informational Only,Black,Male,White,Male,77,18684
2021-03-31 12:00:00,W Saginaw St / Canal Rd,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Informational Only,Black,Male,White,Male,78,18684
2021-03-31 12:00:00,W Saginaw St / Canal Rd,Lansing,MI, Citizen complaint,Arrest; Search and Seizure,Informational Only,Black,Male,White,Female,79,18684
2021-03-31 12:00:00,Fairway Ln / Hillgate Way,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Female,Hispanic,Female,80,18685
2021-03-20 12:00:00,Tecumseh / Windsor St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Sustained,White,Female,White,Female,81,18698
2021-02-22 12:00:00,E Jolly Rd / Ora St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Hispanic,Female,White,Male,82,18702
2021-04-20 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Unknown,Female,White,Male,83,18713
2021-05-06 12:00:00,S Pennsylvania Ave / Dexter Dr,Lansing,MI, Citizen complaint,Courtesy,Informational Only,White,Female,White,Male,84,18727
2021-04-18 12:00:00,S Francis Ave / E Kalamazoo St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Hispanic,Male,White,Male,85,18732
2021-04-18 12:00:00,S Francis Ave / E Kalamazoo St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Hispanic,Male,White,Male,86,18732
2021-04-18 12:00:00,S Francis Ave / E Kalamazoo St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Hispanic,Male,White,Male,87,18732
2021-04-18 12:00:00,S Francis Ave / E Kalamazoo St,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Hispanic,Male,Hispanic,Male,88,18732
2021-05-11 12:00:00,W Michigan Ave / N Capitol Ave,Lansing,MI, Citizen complaint,Processing Property and Evidence,Informational Only,White,Male,White,Male,89,18733
2021-03-03 12:00:00,E Oakland Ave / N Larch St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,White,Male,90,18734
2021-05-23 12:00:00,S Catherine St / Fauna Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,Black,Male,91,18747
2021-05-22 12:00:00,S Francis Ave / E Kalamazoo St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Black,Male,White,Female,92,18748
2021-05-23 12:00:00,W Edgewood Blvd / S Washington Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Female,White,Male,93,18750
2021-05-23 12:00:00,W Edgewood Blvd / S Washington Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Female,White,Male,94,18750
2021-05-23 12:00:00,W Edgewood Blvd / S Washington Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Female,White,Male,95,18750
2021-05-25 12:00:00,W Jolly Rd / S Washington Ave,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Hispanic,Female,Black,Male,96,18751
2021-05-25 12:00:00,W Jolly Rd / S Washington Ave,Lansing,MI, Citizen complaint,Courtesy,Informational Only,Hispanic,Female,White,Female,97,18751
2021-05-23 12:00:00,Stillwell Ave / Brighton Dr,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Unknown,Female,White,Female,98,18761
2021-06-11 12:00:00,E Greenlawn Ave / S Cedar St,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,Hispanic,Male,White,Female,99,18788
2021-06-21 12:00:00,S Martin Luther King Jr Blvd / Warwick Dr,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Female,White,Male,100,18796
2021-06-21 12:00:00,S Martin Luther King Jr Blvd / Warwick Dr,Lansing,MI, Citizen complaint,Courtesy,Informational Only,White,Male,White,Male,101,18796
2021-06-20 12:00:00,New York Ave / E North St,Lansing,MI, Citizen complaint,Courtesy; Unbecoming Conduct; Arrest Search and Seizure,Unfounded,White,Male,White,Male,102,18803
2021-06-20 12:00:00,New York Ave / E North St,Lansing,MI, Citizen complaint,Courtesy; Unbecoming Conduct; Arrest Search and Seizure,Unfounded,White,Male,Black,Female,103,18803
2021-07-14 12:00:00,S Washington Ave/ Hodge Ave ,Lansing,MI,Citizen complaint,Processing Property and Evidence ,Unfounded,Black,Male,White,Female,104,18843
2021-07-14 12:00:00,S Washington Ave/ Hodge Ave ,Lansing,MI,Citizen complaint,Processing Property and Evidence ,Unfounded,Black,Male,Asian,Male,105,18843
2021-07-14 12:00:00,S Washington Ave/ Hodge Ave ,Lansing,MI,Citizen complaint,Processing Property and Evidence ,Unfounded,Black,Male,White,Male,106,18843
2021-07-08 12:00:00,Creston Ave / E Fairfield Ave,Lansing,MI, Citizen complaint,Unsatisfactory Performance,Informational Only,White,Female,Hispanic,Female,108,18855
2021-07-27 12:00:00,S Washington Ave / Isbell St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Sustained,Black,Male,White,Male,109,18862
2021-07-27 12:00:00,S Washington Ave / Isbell St,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Sustained,Other,Female,White,Female,110,18862
2021-07-27 12:00:00,S Washington Ave / Isbell St,Lansing,MI,Citizen complaint,Arrest; Search and Seizure,Not Sustained,Black,Male,White,Male,111,18862
2021-07-27 12:00:00,S Washington Ave / Isbell St,Lansing,MI,Citizen complaint,Arrest; Search and Seizure,Not Sustained,Other,Female,White,Female,112,18862
2021-07-20 12:00:00,Burneway Dr / Waverly Rd,Lansing,MI,Citizen complaint,Unsatisfactory Performance,Informational Only,White,Male,Black,Male,113,18866
2021-08-05 12:00:00,Delbrook Ave / W Jolly Rd,Lansing,MI,Citizen complaint,Abuse of Process; Violation of Rules  ,Informational Only,Hispanic ,Female,White,Male,114,18871
2021-08-05 12:00:00,Delbrook Ave / W Jolly Rd,Lansing,MI,Citizen complaint,Abuse of Process; Violation of Rules  ,Informational Only,Hispanic ,Female,White,Male,115,18871
2021-08-05 12:00:00,Delbrook Ave / W Jolly Rd,Lansing,MI,Citizen complaint,Abuse of Process; Violation of Rules  ,Informational Only,Hispanic ,Female,White,Male,116,18871
2021-08-05 12:00:00,Delbrook Ave / W Jolly Rd,Lansing,MI,Citizen complaint,Abuse of Process; Violation of Rules  ,Informational Only,Hispanic ,Female,White,Female,117,18871
2021-08-05 12:00:00,Delbrook Ave / W Jolly Rd,Lansing,MI,Citizen complaint,Abuse of Process; Violation of Rules  ,Informational Only,Hispanic ,Female,White,Female,118,18871
2021-08-05 12:00:00,I-496 / S Martin Luther King Jr Blvd,Lansing,MI,Citizen complaint,Courtesy,Informational Only,White,Male,Black,Male,119,18879
2021-08-03 12:00:00,Leslie Ave / Elizabeth St ,Lansing,MI,Citizen complaint,Unsatisfactory Performance; Unbecoming Conduct,Informational Only,White,Male,Asian,Male,121,18886
2021-08-03 12:00:00,Leslie Ave / Elizabeth St ,Lansing,MI,Citizen complaint,Unsatisfactory Performance; Unbecoming Conduct,Informational Only,White,Male,White,Male,122,18886
2021-08-03 12:00:00,Leslie Ave / Elizabeth St ,Lansing,MI,Citizen complaint,Unsatisfactory Performance; Unbecoming Conduct,Informational Only,White,Male,White,Female,123,18886
2021-08-13 12:00:00,N Martin Luther King Jr Blvd / Rose Ct,Lansing,MI,Citizen complaint,Courtesy,Informational Only,Black,Male,White,Male,124,18887
2021-08-19 12:00:00,S Pennsylvania Ave / Prospect St,Lansing,MI,Citizen complaint,Courtesy,Informational Only,Unknown,Male,White,Male,125,18889
2021-08-24 12:00:00,S Pennsylvania Ave / E Miller Rd,Lansing,MI,Citizen complaint,Courtesy,Not Sustained,Black,Male,Asian,Male,127,18895
2021-08-24 12:00:00,S Pennsylvania Ave / E Miller Rd,Lansing,MI,Citizen complaint,Unbecoming Conduct,Not Sustained,Black,Male,Asian,Male,128,18895
2021-08-24 12:00:00,S Pennsylvania Ave / E Miller Rd,Lansing,MI,Citizen complaint,Violation of Rules,Informational Only,Black,Male,Asian,Male,129,18895
2021-08-23 12:00:00,Delbrook Ave / W Jolly Rd,Lansing,MI,Citizen complaint,Courtesy; Violation of Rules,Informational Only,Hispanic,Female,White,Male,130,18897
2021-08-28 12:00:00,S Martin Luther King Jr Blvd / Ferley St,Lansing,MI,Citizen complaint,Courtesy,Informational Only,Black,Male,White,Male,131,18909
2021-08-30 12:00:00,S Martin Luther King Jr Blvd / W Malcolm X St,Lansing,MI,Citizen complaint,Unbecoming Conduct,Informational Only,Unknown,Female,White,Female,132,18910
2021-08-30 12:00:00,S Martin Luther King Jr Blvd / W Malcolm X St,Lansing,MI,Citizen complaint,Unbecoming Conduct,Informational Only,Black,Male,White,Female,133,18910
2021-09-14 12:00:00,W Michigan Ave / S Capitol Ave,Lansing,MI,Citizen complaint,Courtesy,Unfounded,Hispanic,Male,White,Male,135,18935
